"verticalLimit" "A" "B"
5 -5.57217906723939 6.50234993638409
4.5 -5.7582228049914 6.68611425838216
4 -6.00271365360206 6.92784558374958
3.5 -6.29796427524176 7.22023926895382
3 -6.68376171128301 7.6031121221714
2.5 -7.20868374771271 8.12533021371213
2 -8.02916020450445 8.94322356963192
1.5 -9.23160485448119 10.1428124711395
1 -9.731222071692 10.6399941676305
0.5 -10.09908274223 11.0055219339623
