"Scenario" "SGlocation" "verticalLimit" "Intercept" "Slope"
"Soil type silty loam" "Trans" 1.5 1.39243783981132 -2.01044731927995
"Soil type silty loam" "Trans" 1 1.33013284491081 -1.84658681542101
"Soil type silty loam" "Trans" 0.5 1.26389044745574 -1.6794234831866
"Soil type silty loam" "Side" 5 1.66165777916109 -2.62966676740279
"Soil type silty loam" "Side" 4.5 1.61610626838799 -2.49340622736046
"Soil type silty loam" "Side" 4 1.60866159486242 -2.48924105863059
"Soil type silty loam" "Side" 3.5 1.56897427037458 -2.38057470512997
"Soil type silty loam" "Side" 3 1.52797103837577 -2.27282512058508
"Soil type silty loam" "Side" 2.5 1.48757338119094 -2.17513100842882
"Soil type silty loam" "Side" 2 1.45088180285837 -2.10505085066364
"Soil type silty loam" "Side" 1.5 1.41447452010699 -2.04846445742628
"Soil type silty loam" "Side" 1 1.34747907083811 -1.87389125646081
"Soil type silty loam" "Side" 0.5 1.27680155473568 -1.69544273660957
"Soil type sandy loam" "Wettzell" 5 1.40029444943218 -4.08758299569903
"Soil type sandy loam" "Wettzell" 4.5 1.37187025668686 -3.94721927261001
"Soil type sandy loam" "Wettzell" 4 1.35262481995211 -3.88653562182868
"Soil type sandy loam" "Wettzell" 3.5 1.32184014052974 -3.75477003530662
"Soil type sandy loam" "Wettzell" 3 1.28812099402408 -3.62003402053962
"Soil type sandy loam" "Wettzell" 2.5 1.25165508758701 -3.49201063587986
"Soil type sandy loam" "Wettzell" 2 1.2120212773267 -3.38181527708817
"Soil type sandy loam" "Wettzell" 1.5 1.16899772279156 -3.29323333036039
"Soil type sandy loam" "Wettzell" 1 1.10229947593439 -2.98680841831471
"Soil type sandy loam" "Wettzell" 0.5 1.00723270334585 -2.51944028170566
"Soil type sandy loam" "Center" 5 1.39457189765147 -4.20855373916494
"Soil type sandy loam" "Center" 4.5 1.3592448761974 -4.02881595279144
"Soil type sandy loam" "Center" 4 1.3342565779396 -3.93635514148798
"Soil type sandy loam" "Center" 3.5 1.29960941140348 -3.78109359119917
"Soil type sandy loam" "Center" 3 1.26465199801122 -3.63407347048853
"Soil type sandy loam" "Center" 2.5 1.23052726949242 -3.50466095075156
"Soil type sandy loam" "Center" 2 1.19609022287812 -3.38711392312601
"Soil type sandy loam" "Center" 1.5 1.15646587901089 -3.2469478533871
"Soil type sandy loam" "Center" 1 1.0964092458256 -2.9634871817498
"Soil type sandy loam" "Center" 0.5 1.00564526245946 -2.51500467622102
"Soil type sandy loam" "Corner" 5 1.39271904556731 -3.85695981184964
"Soil type sandy loam" "Corner" 4.5 1.36754107338749 -3.73499605775052
"Soil type sandy loam" "Corner" 4 1.35512279243108 -3.71429045869163
"Soil type sandy loam" "Corner" 3.5 1.32786023946215 -3.60466188912307
"Soil type sandy loam" "Corner" 3 1.29558867248399 -3.48410212701927
"Soil type sandy loam" "Corner" 2.5 1.25673900745032 -3.36000804896194
"Soil type sandy loam" "Corner" 2 1.21311898334905 -3.28406260999331
"Soil type sandy loam" "Corner" 1.5 1.17006688583734 -3.2691640882292
"Soil type sandy loam" "Corner" 1 1.10033630842364 -2.96191804078234
"Soil type sandy loam" "Corner" 0.5 1.00800509840487 -2.51961084631786
"Soil type sandy loam" "Trans" 5 1.39791196663498 -4.1904230125751
"Soil type sandy loam" "Trans" 4.5 1.36435026048904 -4.02084382729734
"Soil type sandy loam" "Trans" 4 1.34052592084461 -3.93497561964641
"Soil type sandy loam" "Trans" 3.5 1.30656880876971 -3.78438756866265
"Soil type sandy loam" "Trans" 3 1.2715376673109 -3.63881491783352
"Soil type sandy loam" "Trans" 2.5 1.23635289974908 -3.50767766040762
"Soil type sandy loam" "Trans" 2 1.19999880463195 -3.38813006060733
"Soil type sandy loam" "Trans" 1.5 1.15876905321167 -3.25448378482741
"Soil type sandy loam" "Trans" 1 1.09717503638329 -2.96565252948357
"Soil type sandy loam" "Trans" 0.5 1.00548048110945 -2.51454919500057
"Soil type sandy loam" "Side" 5 1.40019323670327 -4.03505019521231
"Soil type sandy loam" "Side" 4.5 1.37221109964909 -3.89732490885355
"Soil type sandy loam" "Side" 4 1.3549413103886 -3.84882765853299
"Soil type sandy loam" "Side" 3.5 1.32485446542835 -3.72213316441355
"Soil type sandy loam" "Side" 3 1.29109390974332 -3.5897041386674
"Soil type sandy loam" "Side" 2.5 1.25308235220287 -3.45959653332611
"Soil type sandy loam" "Side" 2 1.21054328053905 -3.35385984238473
"Soil type sandy loam" "Side" 1.5 1.16697550401784 -3.27280917494628
"Soil type sandy loam" "Side" 1 1.10040022836293 -2.96997775395907
"Soil type sandy loam" "Side" 0.5 1.00746287073081 -2.51900820925446
"Anisotropy sandy loam" "Wettzell" 5 1.45376733764536 -4.01159095897982
"Anisotropy sandy loam" "Wettzell" 4.5 1.42440561994171 -3.87667178073239
"Anisotropy sandy loam" "Wettzell" 4 1.39902596100483 -3.80223864547828
"Anisotropy sandy loam" "Wettzell" 3.5 1.36756421559586 -3.68965477592105
"Anisotropy sandy loam" "Wettzell" 3 1.33335475692398 -3.58298826008549
"Anisotropy sandy loam" "Wettzell" 2.5 1.29656686022048 -3.49562994470064
"Anisotropy sandy loam" "Wettzell" 2 1.25443783759746 -3.43616640711907
"Anisotropy sandy loam" "Wettzell" 1.5 1.20422107131383 -3.39032672104874
"Anisotropy sandy loam" "Wettzell" 1 1.12011370472244 -3.04042762499219
"Anisotropy sandy loam" "Wettzell" 0.5 1.01302371481848 -2.53402526643778
"Anisotropy sandy loam" "Center" 5 1.50066016148545 -4.42744452541868
"Anisotropy sandy loam" "Center" 4.5 1.46440851772946 -4.25473354989766
"Anisotropy sandy loam" "Center" 4 1.43187456061375 -4.14369262987664
"Anisotropy sandy loam" "Center" 3.5 1.39182076074515 -3.98412790720235
"Anisotropy sandy loam" "Center" 3 1.34875171246591 -3.82680815494985
"Anisotropy sandy loam" "Center" 2.5 1.30323871616195 -3.68164237930583
"Anisotropy sandy loam" "Center" 2 1.25187056449213 -3.53546912957169
"Anisotropy sandy loam" "Center" 1.5 1.19175292651977 -3.35408557497939
"Anisotropy sandy loam" "Center" 1 1.11264281409031 -3.01026021187758
"Anisotropy sandy loam" "Center" 0.5 1.01137993866578 -2.52941293952362
